database;class;sequence id;length (aa);HCA score;% strong hydrophobic;sequence coverage by foldable segment;number of removed aa
DisProt;DisProt;DP02683r001;15;-2.67;0.33;0.40;0
DisProt;DisProt;DP02733r002;32;-6.56;0.22;0.19;0
DisProt;DisProt;DP02772r009;126;5.75;0.45;0.99;0
DisProt;DisProt;DP02795r003;18;-5.06;0.22;0.28;0
DisProt;DisProt;DP02808r002;40;0.80;0.30;0.95;0
DisProt;DisProt;DP02823r001;28;-5.54;0.25;0.25;0
DisProt;DisProt;DP02847r002;9;0.11;0.33;0.56;0
DisProt;DisProt;DP02876r001;17;-6.65;0.24;0.18;0
DisProt;DisProt;DP02880r008;14;-10.00;0.14;0.00;0
DisProt;DisProt;DP02903r001;452;-3.31;0.25;0.70;0
DisProt;DisProt;DP02924r002;51;0.47;0.24;0.82;0
DisProt;DisProt;DP02943r001;12;-10.00;0.00;0.00;0
DisProt;DisProt;DP03020r001;39;-8.15;0.18;0.10;0
DisProt;DisProt;DP03121r003;31;-1.19;0.32;0.74;0
DisProt;DisProt;DP03260r010;5;-10.00;0.00;0.00;0
DisProt;DisProt;DP00011r005;14;-4.86;0.29;0.29;0
DisProt;DisProt;DP02705r002;17;-3.65;0.24;0.35;0
DisProt;DisProt;DP02764r003;271;0.22;0.36;0.90;0
DisProt;DisProt;DP02772r013;17;-10.00;0.18;0.00;0
DisProt;DisProt;DP02785r002;14;-10.00;0.07;0.00;0
DisProt;DisProt;DP02834r001;15;-0.40;0.33;0.53;0
DisProt;DisProt;DP02848r002;45;0.44;0.33;0.91;0
DisProt;DisProt;DP02882r001;26;-7.81;0.15;0.12;0
DisProt;DisProt;DP02917r002;141;-2.57;0.23;0.83;0
DisProt;DisProt;DP02949r001;30;-2.73;0.27;0.63;0
DisProt;DisProt;DP02960r013;11;3.09;0.36;0.73;0
DisProt;DisProt;DP02982r001;26;-3.73;0.27;0.35;0
DisProt;DisProt;DP03278r001;14;-10.00;0.14;0.00;0
DisProt;DisProt;DP03303r002;5;-10.00;0.40;0.00;0
DisProt;DisProt;DP03335r001;37;2.76;0.41;1.00;0
DisProt;DisProt;DP03357r001;28;-2.82;0.25;0.86;0
DisProt;DisProt;DP00005r014;14;-4.71;0.21;0.29;0
DisProt;DisProt;DP00018r008;94;-8.49;0.12;0.09;0
DisProt;DisProt;DP00033r001;351;-3.19;0.30;0.66;0
DisProt;DisProt;DP00040r037;9;-10.00;0.00;0.00;0
DisProt;DisProt;DP00057r001;62;-8.84;0.10;0.06;0
DisProt;DisProt;DP00069r002;28;1.04;0.36;0.79;0
DisProt;DisProt;DP00086r062;7;-1.86;0.43;0.43;0
DisProt;DisProt;DP00091r002;84;-4.15;0.24;0.80;0
DisProt;DisProt;DP00102r001;18;-6.94;0.17;0.17;0
DisProt;DisProt;DP00136r013;98;-10.00;0.01;0.00;0
DisProt;DisProt;DP01784r001;83;-3.63;0.25;0.64;0
DisProt;DisProt;DP01790r002;15;2.13;0.40;0.93;0
DisProt;DisProt;DP01817r003;35;-4.37;0.17;0.31;0
DisProt;DisProt;DP01836r002;11;-10.00;0.00;0.00;0
DisProt;DisProt;DP01852r001;172;-4.08;0.24;0.63;0
DisProt;DisProt;DP01855r025;242;-1.70;0.29;0.76;0
DisProt;DisProt;DP01860r001;92;-8.62;0.15;0.08;0
DisProt;DisProt;DP01958r002;10;-10.00;0.20;0.00;0
DisProt;DisProt;DP02042r001;54;-7.61;0.20;0.33;0
DisProt;DisProt;DP02148r001;26;-10.00;0.15;0.00;0
DisProt;DisProt;DP02173r003;22;-5.95;0.14;0.23;0
DisProt;DisProt;DP02256r002;11;-10.00;0.09;0.00;0
DisProt;DisProt;DP02294r002;17;-10.00;0.06;0.00;0
DisProt;DisProt;DP02314r002;64;-4.94;0.17;0.34;0
DisProt;DisProt;DP02334r001;53;-3.25;0.23;0.47;0
DisProt;DisProt;DP02378r001;18;-10.00;0.06;0.00;0
DisProt;DisProt;DP02390r002;51;-2.12;0.35;0.53;0
DisProt;DisProt;DP02408r001;272;-3.89;0.24;0.53;0
DisProt;DisProt;DP02423r001;12;2.17;0.42;0.67;0
DisProt;DisProt;DP02480r001;203;-5.39;0.23;0.53;0
DisProt;DisProt;DP02497r001;226;-2.58;0.24;0.67;0
DisProt;DisProt;DP02518r005;27;-0.59;0.33;0.70;0
DisProt;DisProt;DP02540r004;25;4.92;0.32;0.84;0
DisProt;DisProt;DP02551r002;5;-10.00;0.20;0.00;0
DisProt;DisProt;DP02561r007;31;-3.65;0.29;0.35;0
DisProt;DisProt;DP02586r001;13;-0.23;0.31;0.54;0
DisProt;DisProt;DP02593r009;24;-6.29;0.21;0.21;0
DisProt;DisProt;DP02615r001;28;-1.07;0.25;0.57;0
DisProt;DisProt;DP02641r002;16;-10.00;0.19;0.00;0
DisProt;DisProt;DP02662r002;11;4.64;0.36;0.82;0
DisProt;DisProt;DP02680r001;11;-5.00;0.27;0.27;0
DisProt;DisProt;DP02703r004;23;0.04;0.26;0.57;0
DisProt;DisProt;DP02772r007;11;-10.00;0.09;0.00;0
DisProt;DisProt;DP02782r002;12;-10.00;0.17;0.00;0
DisProt;DisProt;DP02795r001;24;-5.33;0.25;0.25;0
DisProt;DisProt;DP02806r011;16;-0.88;0.38;0.69;0
DisProt;DisProt;DP02858r007;11;-10.00;0.18;0.00;0
DisProt;DisProt;DP02880r006;11;-10.00;0.27;0.00;0
DisProt;DisProt;DP02923r002;11;-10.00;0.09;0.00;0
DisProt;DisProt;DP02931r002;21;-3.05;0.24;0.67;0
DisProt;DisProt;DP02976r001;10;0.80;0.30;0.60;0
DisProt;DisProt;DP03019r002;12;-5.25;0.33;0.25;0
DisProt;DisProt;DP03121r001;32;-10.00;0.12;0.00;0
DisProt;DisProt;DP03260r008;5;-10.00;0.00;0.00;0
DisProt;DisProt;DP03299r005;21;-2.33;0.24;0.43;0
DisProt;DisProt;DP03314r002;10;-10.00;0.10;0.00;0
DisProt;DisProt;DP03353r002;23;-2.09;0.35;0.43;0
DisProt;DisProt;DP00009r002;16;-10.00;0.00;0.00;0
DisProt;DisProt;DP00015r014;14;5.29;0.36;0.86;0
DisProt;DisProt;DP00017r010;71;0.08;0.30;0.96;0
DisProt;DisProt;DP00031r004;10;1.20;0.50;0.60;0
DisProt;DisProt;DP00054r003;18;-10.00;0.11;0.00;0
DisProt;DisProt;DP00077r009;29;-0.79;0.24;0.62;0
DisProt;DisProt;DP00086r009;74;-3.65;0.20;0.42;0
DisProt;DisProt;DP00086r056;22;-7.41;0.18;0.14;0
DisProt;DisProt;DP00193r002;178;1.31;0.38;0.89;0
DisProt;DisProt;DP00238r028;1550;-3.85;0.24;0.63;0
DisProt;DisProt;DP00252r009;12;-10.00;0.25;0.00;0
DisProt;DisProt;DP00273r001;11;7.91;0.45;1.00;0
DisProt;DisProt;DP00304r002;16;1.25;0.31;0.94;0
DisProt;DisProt;DP00321r002;11;-10.00;0.00;0.00;0
DisProt;DisProt;DP00328r010;77;-6.53;0.13;0.19;0
DisProt;DisProt;DP00334r005;95;-3.16;0.24;0.84;0
DisProt;DisProt;DP00347r016;33;5.73;0.39;0.97;0
DisProt;DisProt;DP00378r006;63;-3.62;0.32;0.76;0
DisProt;DisProt;DP00429r002;15;-4.07;0.13;0.33;0
DisProt;DisProt;DP00458r004;36;-10.00;0.11;0.00;0
DisProt;DisProt;DP00552r001;96;-3.60;0.23;0.59;0
DisProt;DisProt;DP00607r001;41;-4.22;0.27;0.66;0
DisProt;DisProt;DP00646r001;105;-5.69;0.20;0.35;0
DisProt;DisProt;DP00706r001;112;-7.41;0.12;0.18;0
DisProt;DisProt;DP00718r039;10;2.70;0.40;0.70;0
DisProt;DisProt;DP00723r002;13;-10.00;0.15;0.00;0
DisProt;DisProt;DP00764r002;20;-10.00;0.15;0.00;0
DisProt;DisProt;DP00783r003;12;5.17;0.50;0.83;0
DisProt;DisProt;DP00820r008;29;-10.00;0.14;0.00;0
DisProt;DisProt;DP00834r011;43;-10.00;0.07;0.00;0
DisProt;DisProt;DP00865r003;16;4.44;0.31;0.81;0
DisProt;DisProt;DP00887r006;12;5.00;0.42;0.92;0
DisProt;DisProt;DP00897r005;20;-0.90;0.35;0.60;0
DisProt;DisProt;DP00926r007;7;-10.00;0.29;0.00;0
DisProt;DisProt;DP00940r001;332;-5.98;0.17;0.33;0
DisProt;DisProt;DP00954r003;22;-10.00;0.05;0.00;0
DisProt;DisProt;DP00974r002;38;-8.11;0.13;0.11;0
DisProt;DisProt;DP02431r001;15;-10.00;0.13;0.00;0
DisProt;DisProt;DP02473r001;15;-10.00;0.13;0.00;0
DisProt;DisProt;DP02483r001;426;1.15;0.34;0.98;0
DisProt;DisProt;DP02503r001;250;-0.64;0.33;0.87;0
DisProt;DisProt;DP02520r002;40;-3.75;0.17;0.57;0
DisProt;DisProt;DP02529r003;15;-1.53;0.27;0.47;0
DisProt;DisProt;DP02552r002;15;-10.00;0.13;0.00;0
DisProt;DisProt;DP02568r001;51;-3.61;0.27;0.63;0
DisProt;DisProt;DP02590r003;38;-3.71;0.29;0.74;0
DisProt;DisProt;DP02620r001;14;-6.07;0.29;0.21;0
DisProt;DisProt;DP02644r003;231;-1.21;0.29;0.91;0
DisProt;DisProt;DP02669r001;17;-10.00;0.06;0.00;0
DisProt;DisProt;DP02687r001;13;-10.00;0.08;0.00;0
DisProt;DisProt;DP02706r002;13;-5.77;0.15;0.23;0
DisProt;DisProt;DP02746r003;82;-0.99;0.33;0.66;0
DisProt;DisProt;DP02772r015;17;-2.41;0.35;0.88;0
DisProt;DisProt;DP00954r002;31;-1.87;0.26;0.58;0
DisProt;DisProt;DP00974r001;51;-6.10;0.22;0.51;0
DisProt;DisProt;DP01010r001;17;-6.76;0.18;0.18;0
DisProt;DisProt;DP01036r001;105;-8.10;0.13;0.27;0
DisProt;DisProt;DP01050r001;28;-10.00;0.04;0.00;0
DisProt;DisProt;DP01091r002;22;-10.00;0.05;0.00;0
DisProt;DisProt;DP01117r002;23;-3.65;0.30;0.87;0
DisProt;DisProt;DP01124r002;19;0.58;0.37;0.84;0
DisProt;DisProt;DP01175r001;101;-6.21;0.21;0.40;0
DisProt;DisProt;DP01278r001;11;0.00;0.36;0.55;0
DisProt;DisProt;DP01420r001;26;-1.62;0.31;0.46;0
DisProt;DisProt;DP01478r007;51;-4.31;0.22;0.31;0
DisProt;DisProt;DP01497r001;207;-6.93;0.18;0.21;0
DisProt;DisProt;DP01526r006;92;1.62;0.38;0.73;0
DisProt;DisProt;DP01554r001;104;-5.48;0.26;0.31;0
DisProt;DisProt;DP01562r003;51;-8.22;0.14;0.10;0
DisProt;DisProt;DP01594r003;21;-5.76;0.24;0.24;0
DisProt;DisProt;DP01615r001;10;-10.00;0.30;0.00;0
DisProt;DisProt;DP01651r001;17;-10.00;0.12;0.00;0
DisProt;DisProt;DP01774r001;70;-0.74;0.31;0.81;0
DisProt;DisProt;DP01794r001;34;0.35;0.21;0.59;0
DisProt;DisProt;DP00075r001;174;-8.95;0.10;0.06;0
DisProt;DisProt;DP00077r016;17;-6.76;0.24;0.18;0
DisProt;DisProt;DP00086r031;21;-0.43;0.33;0.71;0
DisProt;DisProt;DP00102r002;10;4.40;0.40;0.80;0
DisProt;DisProt;DP00166r008;48;-1.12;0.21;0.73;0
DisProt;DisProt;DP00182r001;13;-10.00;0.15;0.00;0
DisProt;DisProt;DP00198r002;12;-10.00;0.17;0.00;0
DisProt;DisProt;DP00225r007;418;-5.71;0.19;0.28;0
DisProt;DisProt;DP00299r007;14;-10.00;0.07;0.00;0
DisProt;DisProt;DP00304r004;39;-1.21;0.31;0.82;0
DisProt;DisProt;DP00321r007;11;-0.18;0.27;0.55;0
DisProt;DisProt;DP00335r001;37;0.81;0.35;0.76;0
DisProt;DisProt;DP00385r004;32;-10.00;0.00;0.00;0
DisProt;DisProt;DP00419r003;14;-10.00;0.07;0.00;0
DisProt;DisProt;DP00432r002;16;-10.00;0.12;0.00;0
DisProt;DisProt;DP00509r001;21;2.19;0.43;0.86;0
DisProt;DisProt;DP00558r001;12;-10.00;0.08;0.00;0
DisProt;DisProt;DP00627r001;14;-3.64;0.14;0.36;0
DisProt;DisProt;DP00666r001;114;-4.48;0.19;0.55;0
DisProt;DisProt;DP00730r006;12;-10.00;0.25;0.00;0
DisProt;DisProt;DP00786r002;42;-10.00;0.10;0.00;0
DisProt;DisProt;DP00795r022;10;-10.00;0.10;0.00;0
DisProt;DisProt;DP00385r005;15;-2.80;0.27;0.40;0
DisProt;DisProt;DP00407r004;30;-7.53;0.20;0.13;0
DisProt;DisProt;DP00420r001;600;-4.15;0.25;0.57;0
DisProt;DisProt;DP00558r002;54;-10.00;0.09;0.00;0
DisProt;DisProt;DP00571r022;12;-4.00;0.25;0.33;0
DisProt;DisProt;DP00609r013;212;-3.52;0.25;0.88;0
DisProt;DisProt;DP00628r001;39;-0.23;0.36;0.74;0
DisProt;DisProt;DP00787r001;124;-0.40;0.30;0.78;0
DisProt;DisProt;DP00822r003;15;-5.20;0.13;0.27;0
DisProt;DisProt;DP00836r001;110;-5.42;0.22;0.63;0
DisProt;DisProt;DP00846r002;10;4.40;0.40;0.80;0
DisProt;DisProt;DP00869r001;87;-0.68;0.30;0.86;0
DisProt;DisProt;DP00887r009;25;-10.00;0.12;0.00;0
DisProt;DisProt;DP00897r008;22;1.64;0.41;0.77;0
DisProt;DisProt;DP00910r001;28;-3.64;0.25;0.36;0
DisProt;DisProt;DP00931r002;34;-8.38;0.18;0.09;0
DisProt;DisProt;DP00941r004;14;-10.00;0.21;0.00;0
DisProt;DisProt;DP00985r001;89;-2.25;0.30;0.63;0
DisProt;DisProt;DP01037r004;13;-4.31;0.23;0.31;0
DisProt;DisProt;DP01093r004;11;-3.45;0.27;0.36;0
DisProt;DisProt;DP01102r005;19;-10.00;0.11;0.00;0
DisProt;DisProt;DP01139r007;32;0.06;0.28;0.75;0
DisProt;DisProt;DP01236r001;12;-2.58;0.17;0.42;0
DisProt;DisProt;DP00226r001;30;-4.63;0.23;0.30;0
DisProt;DisProt;DP00277r001;27;-7.19;0.22;0.15;0
DisProt;DisProt;DP00304r007;13;-4.46;0.23;0.31;0
DisProt;DisProt;DP00322r001;18;-10.00;0.06;0.00;0
DisProt;DisProt;DP00329r002;224;-2.29;0.36;0.71;0
DisProt;DisProt;DP00352r002;36;-8.47;0.08;0.08;0
DisProt;DisProt;DP00359r007;10;-4.50;0.20;0.30;0
DisProt;DisProt;DP00410r005;10;-10.00;0.20;0.00;0
DisProt;DisProt;DP00434r001;11;-10.00;0.09;0.00;0
DisProt;DisProt;DP00464r001;12;-10.00;0.17;0.00;0
DisProt;DisProt;DP00488r001;51;-1.71;0.35;0.84;0
DisProt;DisProt;DP00510r001;82;-6.02;0.13;0.22;0
DisProt;DisProt;DP00518r028;33;4.45;0.30;0.82;0
DisProt;DisProt;DP00573r002;39;2.38;0.33;0.95;0
DisProt;DisProt;DP00587r002;243;-1.61;0.28;0.67;0
DisProt;DisProt;DP00592r001;62;-4.53;0.15;0.45;0
DisProt;DisProt;DP00672r001;61;1.15;0.31;0.75;0
DisProt;DisProt;DP00707r001;74;-4.65;0.20;0.36;0
DisProt;DisProt;DP00748r002;13;-5.62;0.23;0.23;0
DisProt;DisProt;DP00766r001;44;-8.75;0.14;0.07;0
DisProt;DisProt;DP00790r001;31;-8.16;0.19;0.10;0
DisProt;DisProt;DP00807r001;52;-10.00;0.02;0.00;0
DisProt;DisProt;DP00815r009;11;-10.00;0.18;0.00;0
DisProt;DisProt;DP00823r002;36;-0.06;0.25;0.67;0
DisProt;DisProt;DP00848r001;49;-3.78;0.16;0.43;0
DisProt;DisProt;DP00870r002;202;-1.72;0.31;0.73;0
DisProt;DisProt;DP00913r001;19;-0.63;0.21;0.84;0
DisProt;DisProt;DP00932r002;76;-3.22;0.21;0.59;0
DisProt;DisProt;DP00942r002;15;-2.80;0.20;0.40;0
DisProt;DisProt;DP01051r002;253;-4.19;0.19;0.61;0
DisProt;DisProt;DP00943r001;78;-3.97;0.24;0.56;0
DisProt;DisProt;DP00948r032;50;-10.00;0.08;0.00;0
DisProt;DisProt;DP00956r002;19;3.16;0.32;0.74;0
DisProt;DisProt;DP00768r020;50;-6.40;0.12;0.40;0
DisProt;DisProt;DP00786r001;38;-10.00;0.08;0.00;0
DisProt;DisProt;DP00803r001;58;-0.33;0.31;1.00;0
DisProt;DisProt;DP00815r005;26;-5.85;0.19;0.23;0
DisProt;DisProt;DP00822r001;31;-10.00;0.13;0.00;0
DisProt;DisProt;DP00835r001;54;-3.61;0.28;0.63;0
DisProt;DisProt;DP00845r002;13;-1.54;0.31;0.46;0
DisProt;DisProt;DP00940r002;290;-7.07;0.15;0.22;0
DisProt;DisProt;DP00975r001;60;-7.28;0.12;0.30;0
DisProt;DisProt;DP00996r007;33;-8.33;0.18;0.09;0
DisProt;DisProt;DP01010r003;14;-10.00;0.29;0.00;0
DisProt;DisProt;DP01024r005;16;-4.31;0.25;0.31;0
DisProt;DisProt;DP01059r002;20;-10.00;0.10;0.00;0
DisProt;DisProt;DP01091r004;14;-10.00;0.14;0.00;0
DisProt;DisProt;DP01118r002;23;-5.30;0.13;0.26;0
DisProt;DisProt;DP01126r002;206;-5.50;0.23;0.57;0
DisProt;DisProt;DP01150r011;139;-1.04;0.30;0.71;0
DisProt;DisProt;DP01157r004;33;-3.39;0.27;0.61;0
DisProt;DisProt;DP01190r001;10;-10.00;0.10;0.00;0
DisProt;DisProt;DP01200r001;38;0.58;0.39;0.76;0
DisProt;DisProt;DP01249r002;26;1.08;0.31;0.92;0
DisProt;DisProt;DP01280r001;40;-0.38;0.38;0.78;0
DisProt;DisProt;DP01332r006;40;-5.12;0.17;0.28;0
DisProt;DisProt;DP01368r003;31;-4.81;0.26;0.29;0
DisProt;DisProt;DP01424r001;117;1.79;0.39;0.87;0
DisProt;DisProt;DP01439r001;10;2.90;0.50;0.70;0
DisProt;DisProt;DP03358r002;13;-5.77;0.15;0.23;0
DisProt;DisProt;DP00018r020;50;-1.40;0.24;0.98;0
DisProt;DisProt;DP00049r006;120;-5.92;0.23;0.34;0
DisProt;DisProt;DP00086r065;6;-10.00;0.33;0.00;0
DisProt;DisProt;DP00092r001;13;-10.00;0.23;0.00;0
DisProt;DisProt;DP00097r007;98;-7.95;0.10;0.17;0
DisProt;DisProt;DP00130r005;25;-6.44;0.20;0.20;0
DisProt;DisProt;DP00133r021;50;-0.38;0.26;0.62;0
DisProt;DisProt;DP00198r004;12;2.00;0.33;0.67;0
DisProt;DisProt;DP00207r008;564;-5.70;0.20;0.49;0
DisProt;DisProt;DP00252r017;21;-6.57;0.24;0.19;0
DisProt;DisProt;DP00282r001;52;-1.98;0.27;0.92;0
DisProt;DisProt;DP00304r006;12;-2.58;0.17;0.42;0
DisProt;DisProt;DP00321r011;12;-0.83;0.42;0.50;0
DisProt;DisProt;DP00329r001;25;6.68;0.52;0.92;0
DisProt;DisProt;DP00348r001;40;-5.12;0.20;0.28;0
DisProt;DisProt;DP00352r001;19;-10.00;0.05;0.00;0
DisProt;DisProt;DP00410r001;13;-10.00;0.31;0.00;0
DisProt;DisProt;DP00544r001;120;-3.86;0.23;0.57;0
DisProt;DisProt;DP00622r011;12;-2.58;0.25;0.42;0
DisProt;DisProt;DP00670r004;10;-2.80;0.20;0.40;0
DisProt;DisProt;DP00675r006;91;-5.00;0.20;0.45;0
DisProt;DisProt;DP02835r002;15;-10.00;0.07;0.00;0
DisProt;DisProt;DP02853r006;69;-2.94;0.20;0.61;0
DisProt;DisProt;DP02878r010;20;0.60;0.20;0.60;0
DisProt;DisProt;DP02885r002;11;-3.45;0.18;0.36;0
DisProt;DisProt;DP02894r004;21;-10.00;0.00;0.00;0
DisProt;DisProt;DP02918r001;48;-7.31;0.19;0.15;0
DisProt;DisProt;DP02925r010;26;-2.42;0.23;0.81;0
DisProt;DisProt;DP02950r002;37;1.22;0.35;0.92;0
DisProt;DisProt;DP02987r001;31;-7.61;0.26;0.13;0
DisProt;DisProt;DP03026r001;26;0.58;0.38;0.73;0
DisProt;DisProt;DP03280r001;20;-6.40;0.15;0.20;0
DisProt;DisProt;DP03309r002;18;-10.00;0.06;0.00;0
DisProt;DisProt;DP03338r005;15;4.40;0.40;0.80;0
DisProt;DisProt;DP00012r007;185;-2.10;0.27;0.82;0
DisProt;DisProt;DP00018r022;76;-1.72;0.25;0.80;0
DisProt;DisProt;DP00020r013;81;-3.59;0.21;0.53;0
DisProt;DisProt;DP00060r010;38;-3.42;0.21;0.37;0
DisProt;DisProt;DP00071r001;156;-1.40;0.27;0.71;0
DisProt;DisProt;DP00086r067;15;-0.13;0.40;0.80;0
DisProt;DisProt;DP00104r001;10;-10.00;0.30;0.00;0
DisProt;DisProt;DP00116r001;49;0.24;0.35;0.94;0
DisProt;DisProt;DP00137r001;16;-5.50;0.25;0.25;0
DisProt;DisProt;DP00157r001;17;-10.00;0.00;0.00;0
DisProt;DisProt;DP00159r019;69;-3.16;0.26;0.84;0
DisProt;DisProt;DP00168r001;48;-0.21;0.33;0.85;0
DisProt;DisProt;DP00179r007;36;-6.06;0.11;0.22;0
DisProt;DisProt;DP00184r001;45;-3.47;0.31;0.64;0
DisProt;DisProt;DP00200r002;113;-3.12;0.22;0.76;0
DisProt;DisProt;DP00207r010;248;-7.29;0.16;0.28;0
DisProt;DisProt;DP00278r001;62;-4.44;0.23;0.79;0
DisProt;DisProt;DP00284r006;19;-2.53;0.21;0.42;0
DisProt;DisProt;DP00301r001;10;-10.00;0.10;0.00;0
DisProt;DisProt;DP00304r008;5;1.00;0.40;0.60;0
DisProt;DisProt;DP00323r001;12;-5.42;0.17;0.25;0
DisProt;DisProt;DP00353r001;90;-4.66;0.16;0.44;0
DisProt;DisProt;DP00392r002;26;-10.00;0.04;0.00;0
DisProt;DisProt;DP00410r007;21;2.81;0.33;0.76;0
DisProt;DisProt;DP00420r004;79;-1.13;0.28;0.57;0
DisProt;DisProt;DP00434r005;10;1.00;0.40;0.60;0
DisProt;DisProt;DP00447r007;118;-4.49;0.22;0.64;0
DisProt;DisProt;DP00474r001;176;-5.07;0.22;0.44;0
DisProt;DisProt;DP00531r022;55;-5.07;0.18;0.45;0
DisProt;DisProt;DP00559r002;31;-5.97;0.23;0.23;0
DisProt;DisProt;DP00575r001;20;1.00;0.40;0.70;0
DisProt;DisProt;DP00588r001;82;-6.85;0.17;0.30;0
DisProt;DisProt;DP02360r001;10;-10.00;0.00;0.00;0
DisProt;DisProt;DP02397r001;16;-10.00;0.06;0.00;0
DisProt;DisProt;DP02415r001;14;-3.64;0.21;0.36;0
DisProt;DisProt;DP02455r001;62;-4.16;0.21;0.66;0
DisProt;DisProt;DP02476r005;82;-3.29;0.30;0.60;0
DisProt;DisProt;DP01935r001;33;-8.33;0.18;0.09;0
DisProt;DisProt;DP01948r001;42;-4.36;0.29;0.45;0
DisProt;DisProt;DP01968r001;86;-5.79;0.20;0.40;0
DisProt;DisProt;DP02015r001;30;-10.00;0.10;0.00;0
DisProt;DisProt;DP02068r001;11;-3.27;0.45;0.36;0
DisProt;DisProt;DP02167r001;132;-5.02;0.23;0.38;0
DisProt;DisProt;DP02264r001;23;-10.00;0.17;0.00;0
DisProt;DisProt;DP02365r001;19;-0.63;0.21;0.53;0
DisProt;DisProt;DP02456r001;17;0.59;0.35;0.94;0
DisProt;DisProt;DP02476r007;229;-0.87;0.32;0.85;0
DisProt;DisProt;DP02509r001;72;0.79;0.32;0.97;0
DisProt;DisProt;DP02521r005;16;2.69;0.50;0.94;0
DisProt;DisProt;DP02538r001;99;-8.91;0.13;0.06;0
DisProt;DisProt;DP02574r001;40;-8.15;0.07;0.10;0
DisProt;DisProt;DP02605r002;37;-6.05;0.22;0.35;0
DisProt;DisProt;DP02622r004;19;-4.32;0.16;0.32;0
DisProt;DisProt;DP02653r001;64;3.31;0.30;0.98;0
DisProt;DisProt;DP02693r002;522;-1.20;0.31;0.89;0
DisProt;DisProt;DP02726r001;11;1.55;0.36;0.64;0
DisProt;DisProt;DP02738r001;20;1.65;0.30;0.65;0
DisProt;DisProt;DP02772r028;223;1.70;0.38;0.97;0
DisProt;DisProt;DP02803r003;12;-10.00;0.17;0.00;0
DisProt;DisProt;DP02836r005;135;-7.10;0.16;0.26;0
DisProt;DisProt;DP02855r001;37;-6.16;0.19;0.22;0
DisProt;DisProt;DP02879r001;17;1.06;0.59;0.59;0
DisProt;DisProt;DP02897r002;13;-1.69;0.38;0.46;0
DisProt;DisProt;DP02910r004;31;-7.68;0.13;0.13;0
DisProt;DisProt;DP00086r043;11;3.27;0.45;0.73;0
DisProt;DisProt;DP00122r002;135;-7.18;0.17;0.26;0
DisProt;DisProt;DP00221r001;585;-4.25;0.22;0.76;0
DisProt;DisProt;DP00262r006;51;-0.82;0.33;0.94;0
DisProt;DisProt;DP00310r001;10;-4.50;0.20;0.30;0
DisProt;DisProt;DP00414r002;17;-5.76;0.29;0.24;0
DisProt;DisProt;DP00468r002;42;-2.60;0.31;0.98;0
DisProt;DisProt;DP00475r001;10;-2.60;0.30;0.40;0
DisProt;DisProt;DP00576r009;168;-3.72;0.21;0.61;0
DisProt;DisProt;DP00623r006;43;-3.74;0.19;0.70;0
DisProt;DisProt;DP00632r002;264;-7.95;0.17;0.23;0
DisProt;DisProt;DP00640r023;18;0.00;0.28;0.56;0
DisProt;DisProt;DP00654r001;12;-4.00;0.25;0.33;0
DisProt;DisProt;DP00712r002;15;0.87;0.33;0.73;0
DisProt;DisProt;DP00728r002;10;-10.00;0.30;0.00;0
DisProt;DisProt;DP00796r004;22;-3.45;0.18;0.86;0
DisProt;DisProt;DP00840r004;35;4.46;0.49;0.80;0
DisProt;DisProt;DP00872r004;28;-0.93;0.36;0.71;0
DisProt;DisProt;DP01326r003;10;1.00;0.40;0.60;0
DisProt;DisProt;DP01433r001;83;-10.00;0.18;0.00;0
DisProt;DisProt;DP01485r002;25;-4.24;0.20;0.32;0
DisProt;DisProt;DP01604r002;22;3.00;0.32;0.91;0
DisProt;DisProt;DP01644r001;22;-10.00;0.18;0.00;0
DisProt;DisProt;DP01724r002;10;-4.50;0.20;0.30;0
DisProt;DisProt;DP01748r005;15;-3.93;0.27;0.33;0
DisProt;DisProt;DP01764r002;26;0.27;0.23;0.81;0
DisProt;DisProt;DP01788r003;11;-10.00;0.09;0.00;0
DisProt;DisProt;DP01833r006;18;-4.00;0.28;0.33;0
DisProt;DisProt;DP01855r014;169;-6.91;0.17;0.17;0
DisProt;DisProt;DP01855r046;40;2.55;0.33;0.90;0
DisProt;DisProt;DP01871r001;45;-2.51;0.22;0.64;0
DisProt;DisProt;DP01890r004;21;-2.05;0.38;0.76;0
DisProt;DisProt;DP01938r003;21;-10.00;0.14;0.00;0
DisProt;DisProt;DP01994r001;24;-10.00;0.08;0.00;0
DisProt;DisProt;DP02001r005;12;-10.00;0.25;0.00;0
DisProt;DisProt;DP02120r002;31;-8.23;0.19;0.10;0
DisProt;DisProt;DP02142r001;30;-10.00;0.17;0.00;0
DisProt;DisProt;DP02170r001;21;-10.00;0.14;0.00;0
DisProt;DisProt;DP02208r001;33;-7.76;0.24;0.12;0
DisProt;DisProt;DP02249r002;13;-4.31;0.31;0.31;0
DisProt;DisProt;DP02271r002;92;-7.24;0.15;0.22;0
DisProt;DisProt;DP02328r001;26;0.65;0.42;0.92;0
DisProt;DisProt;DP02398r004;25;-3.48;0.20;0.72;0
DisProt;DisProt;DP02458r002;107;-1.10;0.35;0.90;0
DisProt;DisProt;DP02477r005;353;-4.08;0.21;0.58;0
DisProt;DisProt;DP02511r002;41;-3.02;0.29;0.51;0
DisProt;DisProt;DP02521r010;86;1.10;0.35;0.97;0
